Price,Address,Size,Rooms
 34.9 M Ft ," Ady Endre utca, XX. kerület", 52 m² terület, 2 szoba
 33.9 M Ft ," Kassai utca 54, IV. kerület", 57 m² terület, 2 szoba
 24 M Ft ," József Attila utca, IV. kerület", 36 m² terület, 1 szoba
 33 M Ft ," Dózsa György út, XIII. kerület", 67 m² terület, 2 szoba
 33.5 M Ft ," Zichy Mihály utca 1, IV. kerület", 53 m² terület, 1 + 2 fél szoba
 21.89 M Ft ," Vörösmarty utca, IV. kerület", 33 m² terület, 1 szoba
 21.9 M Ft ," Irányi Dániel utca, IV. kerület", 32 m² terület, 1 + 1 fél szoba
 37.9 M Ft ," Viza utca 7. A, XIII. kerület", 33 m² terület, 1 szoba
 33.5 M Ft ," Nádasdy Kálmán utca x, IV. kerület", 64 m² terület, 2 szoba
 35 M Ft ," Petneházy köz 16-18, XIII. kerület", 41 m² terület, 1 szoba
 18.5 M Ft ," Török Flóris utca, XX. kerület", 25 m² terület, 1 szoba
 33.2 M Ft ," Külső Szilágyi út, IV. kerület", 66 m² terület, 2 + 1 fél szoba
 29 M Ft ," Lajtha László utca, XX. kerület", 54 m² terület, 2 szoba
 27.3 M Ft ," Pázsitos sétány, XX. kerület", 69 m² terület, 3 szoba
 20.6 M Ft ," Nádor utca 10, IV. kerület", 34 m² terület, 1 szoba
 32 M Ft ," Visegrádi utca 40, XIII. kerület", 34 m² terület, 1 szoba
 35.9 M Ft ," Jász utca, XIII. kerület", 48 m² terület, 2 szoba
 26.3 M Ft ," Istvántelki út, IV. kerület", 53 m² terület, 1 + 2 fél szoba
 25.5 M Ft ," Baross utca 5/A/c, XX. kerület", 35 m² terület, 1 szoba
 28 M Ft ," Erzsébet utca, IV. kerület", 55 m² terület, 2 szoba
